Force,Average Trend,Average Seasonal,Autocorrelation Lag 12,Anomalies Count,Dominant Cycle (months)
city-of-london,27.838541666666668,0.0,-0.06325760296218273,1,3.5999999999999996
metropolitan,4551.512152777778,-1.973729821555834e-15,0.22474646581167726,1,12.0
