ward,dow,slot,officers_alloc,hours_alloc,benefit
Berrylands,6,6,100,200,0.16344601883604815
Bethnal Green,2,6,100,200,0.4568396870273992
Bethnal Green,6,6,100,200,0.40987515361119875
Bethnal Green,0,6,100,200,0.3287538397786525
Bethnal Green,4,6,100,200,0.2945976596391315
Bexleyheath,2,6,100,200,0.25011000702824343
Bexleyheath,4,6,100,200,0.22804188562291922
Bexleyheath,5,6,100,200,0.2206858079374291
Bexleyheath,6,6,100,200,0.1839047905554152
Bickley & Sundridge,2,6,100,200,0.27838555415462773
Bickley & Sundridge,6,6,100,200,0.2783847653534281
Bickley & Sundridge,3,6,100,200,0.23488784230262263
Bickley & Sundridge,4,6,100,200,0.23488702311699788
Blackheath,2,6,100,200,0.5722101035205484
Blackheath,0,6,100,200,0.4459879133294479
Blackheath,3,6,100,200,0.4123276878448335
Blackheath,4,6,100,200,0.40391315105830383
Blackheath Westcombe,4,6,100,200,0.21906237630376135
Blackheath Westcombe,6,6,100,200,0.17321257369773366
Blackheath Westcombe,5,6,100,200,0.14773985003995163
Blackheath Westcombe,2,6,100,200,0.13245644304965937
Blackwall & Cubitt Town,6,6,100,200,0.533025224654679
Blackwall & Cubitt Town,4,6,100,200,0.5223646143286319
Blackwall & Cubitt Town,0,6,100,200,0.44774117782817074
Blackwall & Cubitt Town,2,6,100,200,0.3731170869506302
Bloomsbury,2,6,100,200,1.2895852179877771
Bloomsbury,4,6,100,200,1.2277560387825845
Bloomsbury,6,6,100,200,1.0157693853586445
Bloomsbury,5,6,100,200,0.9981036561500135
Boleyn,2,6,100,200,0.35900330338607256
Boleyn,0,6,100,200,0.27124759440426455
Boleyn,3,6,100,200,0.2552917356972687
Boleyn,6,6,100,200,0.24731381480219433
Borough & Bankside,0,6,100,200,0.983153741852634
Borough & Bankside,2,6,100,200,0.956093662803075
Borough & Bankside,4,6,100,200,0.8658962731657824
Borough & Bankside,3,6,100,200,0.7847190346363822
Bounds Green,0,6,100,200,0.12063611090999825
Bounds Green,2,6,100,200,0.0790379060587521
Bounds Green,6,6,100,200,0.07071821735338746
Bounds Green,4,6,100,200,0.06239828196825338
Bow East,2,6,100,200,0.18309834578973952
Bow East,0,6,100,200,0.1469310142019325
Bow East,4,6,100,200,0.14693028084193188
Bow East,6,6,100,200,0.1401493276520181
Bow West,4,6,100,200,0.1996981523531746
Bow West,6,6,100,200,0.18120748943805662
Bow West,2,6,100,200,0.17381130739741155
Bow West,0,6,100,200,0.17011304455434906
Bowes,4,6,100,200,0.09821475970441113
Bowes,2,6,100,200,0.09330401797631588
Bowes,6,6,100,200,0.09330385858490284
Bowes,0,6,100,200,0.08839267278776484
Brentford East,0,6,100,200,0.2673607679849301
Brentford East,5,6,100,200,0.22916662985611508
Brentford East,3,6,100,200,0.145139277732847
Brentford East,4,6,100,200,0.11458352182107193
Brentford West,3,6,100,200,0.1593895862214876
Brentford West,4,6,100,200,0.159388861429838
Brentford West,1,6,100,200,0.11476055446739404
Brentford West,0,6,100,200,0.09563374081077687
Bridge,4,6,100,200,0.18968769293048024
Bridge,2,6,100,200,0.18210036200227428
Bridge,3,6,100,200,0.16692570649656313
Bridge,6,6,100,200,0.1365756248734989
Brimsdown,2,6,100,200,0.6135141616396287
Brimsdown,5,6,100,200,0.5157080138962176
Brimsdown,6,6,100,200,0.5068163760675797
Brimsdown,3,6,100,200,0.5068162848391364
Brixton Acre Lane,5,6,100,200,0.40333849297749924
Brixton Acre Lane,0,6,100,200,0.3649244430806729
Brixton Acre Lane,4,6,100,200,0.3521201812932977
Brixton Acre Lane,2,6,100,200,0.30730535717656
Brixton North,3,6,100,200,0.5331668144678265
Brixton North,5,6,100,200,0.4927753236704342
Brixton North,4,6,100,200,0.4685405495493338
Brixton North,0,6,100,200,0.37160073244679853
Brixton Rush Common,2,6,100,200,0.09515845871319682
Brixton Rush Common,5,6,100,200,0.0774541708008052
Brixton Rush Common,1,6,100,200,0.07524184871927371
Brixton Rush Common,6,6,100,200,0.07302866059786717
Brixton Windrush,4,6,100,200,0.26836759525690634
Brixton Windrush,1,6,100,200,0.2638949162348147
Brixton Windrush,2,6,100,200,0.254948893262684
Brixton Windrush,6,6,100,200,0.24600419378051003
Broad Green,2,6,100,200,0.5522958571079423
Broad Green,4,6,100,200,0.543665586431357
Broad Green,3,6,100,200,0.5264064217549651
Broad Green,6,6,100,200,0.4746288943951823
Brockley,0,6,100,200,0.7168806802472927
Brockley,4,6,100,200,0.6338733482620166
Brockley,2,6,100,200,0.6112345059073148
Brockley,5,6,100,200,0.49049688910520245
Bromley Common & Holwood,2,6,100,200,0.2956243700486857
Bromley Common & Holwood,1,6,100,200,0.24494681425647144
Bromley Common & Holwood,3,6,100,200,0.23649972172137612
Bromley Common & Holwood,4,6,100,200,0.22805337647260773
Bromley North,4,6,100,200,0.20751713204161532
Bromley North,3,6,100,200,0.2075170983007309
Bromley North,0,6,100,200,0.1766106060502582
Bromley North,2,6,100,200,0.1766102295384709
Bromley South,0,6,100,200,0.19419605587407537
Bromley South,6,6,100,200,0.174106841085089
Bromley South,4,6,100,200,0.1741067570326328
Bromley South,3,6,100,200,0.16741099823439273
Bromley Town,2,6,100,200,0.40980522927416185
Bromley Town,6,6,100,200,0.3360407608185599
Bromley Town,3,6,100,200,0.3278440910925811
Bromley Town,5,6,100,200,0.3196478835931011
Brompton & Hans Town,2,6,100,200,0.36994193328553066
Brompton & Hans Town,6,6,100,200,0.3634521026409122
Brompton & Hans Town,3,6,100,200,0.3569618715772109
Brompton & Hans Town,0,6,100,200,0.35696156336850365
Brondesbury Park,4,6,100,200,0.6500738293228676
Brondesbury Park,0,6,100,200,0.6067354987879834
Brondesbury Park,2,6,100,200,0.5850661223028036
Brondesbury Park,3,6,100,200,0.5200596750446903
Brook Green,4,6,100,200,0.5549764313762093
